variable,U_stat,p_value,median_no_ai,median_ai,mean_no_ai,mean_ai,n_no_ai,n_ai,cliffs_delta
pre_tt_twist,1373782.0,1.7550256444192057e-10,3.0,4.0,3.4801075268817203,3.9352346999405823,1860,1683,0.12229058452967378
pre_feasible,1433654.5,1.303093892378046e-05,5.0,6.0,4.874193548387097,5.2263814616755795,1860,1683,0.08403804011014637
pre_publishable,1441924.0,4.449983845880157e-05,5.0,5.0,4.633870967741935,4.967320261437909,1860,1683,0.07875465598425757
pre_tt_badly_written,1454482.5,0.00024332445622725232,5.0,5.0,4.710752688172043,4.9904931669637556,1860,1683,0.07073102945968213
pre_original,1454909.0,0.00025415783557191794,4.0,4.0,4.0102150537634405,4.2727272727272725,1860,1683,0.07045853857998075
pre_rare,1455833.5,0.0002780633749807904,3.0,4.0,3.6129032258064515,3.8609625668449197,1860,1683,0.06986787546559836
pre_tt_enjoyed,1458777.0,0.00042024053243193817,5.0,5.0,4.580645161290323,4.847296494355318,1860,1683,0.06798727311061281
pre_novel,1464434.5,0.0008294754875654664,4.0,4.0,4.081720430107527,4.314913844325609,1860,1683,0.06437269596662376
pre_tt_future,1484113.0,0.006435023738378393,3.0,3.0,3.098924731182796,3.2549019607843137,1860,1683,0.051800100946211014
pre_appropriate,1484573.0,0.007377998811928518,6.0,6.0,5.7505376344086025,5.964349376114082,1860,1683,0.05150620691417651
pre_tt_boring,1614610.5,0.10116843324017905,4.0,4.0,4.253225806451613,4.094474153297683,1860,1683,-0.0315747608916489
pre_tt_funny,1572688.5,0.7862123418577447,1.0,1.0,2.056451612903226,2.0106951871657754,1860,1683,-0.0047907921721963564
