variable,spearman_rho,p_value
pre_tt_enjoyed,-0.10005511557577637,2.3948655818579446e-09
pre_tt_badly_written,-0.09728886448253846,6.527067084831067e-09
pre_tt_boring,0.09652981530146051,8.553316537216645e-09
pre_original,-0.09369294810229369,2.3073232420324597e-08
pre_novel,-0.08780443047146874,1.6528845628744611e-07
pre_rare,-0.06869356184811015,4.272157016253784e-05
pre_appropriate,-0.05172577071350444,0.0020710224527861476
pre_feasible,-0.051485335132523125,0.0021729278173900977
pre_tt_twist,-0.046560032366806565,0.005572621527736649
pre_publishable,-0.04263799084481027,0.011142292031178305
pre_tt_funny,-0.030129470398183717,0.07294512761855891
pre_tt_future,0.007540962523845891,0.6536412350979866
